K,skew,lname,lam,B,regime,cap_blocks,W,fcfs_recomp_mean,fcfs_recomp_std,pfa_recomp_mean,pfa_recomp_std,delta_mean,ci_lo,ci_hi,fcfs_hit,pfa_hit,fcfs_p99,pfa_p99,fair_ratio,fcfs_mean_wait,pfa_mean_wait
2,1.0,heavy,25.6,16,one,128,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,few,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,few,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,few,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,few,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,few,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,few,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,all,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,all,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,all,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,all,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,all,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,all,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,light,2.4,4,one,128,1,14336,4729.653405201414,14336,4729.653405201414,0,0.0,0.0,0.9766666666666667,0.9766666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,one,128,2,14336,4729.653405201414,14336,4729.653405201414,0,0.0,0.0,0.9766666666666667,0.9766666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,one,128,4,14336,4729.653405201414,14336,4729.653405201414,0,0.0,0.0,0.9766666666666667,0.9766666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,one,128,8,14336,4729.653405201414,14336,4729.653405201414,0,0.0,0.0,0.9766666666666667,0.9766666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,one,128,32,14336,4729.653405201414,14336,4729.653405201414,0,0.0,0.0,0.9766666666666667,0.9766666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,one,128,1000000000,14336,4729.653405201414,14336,4729.653405201414,0,0.0,0.0,0.9766666666666667,0.9766666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,few,256,1,13994.666666666666,4642.635266981698,13994.666666666666,4642.635266981698,0,0.0,0.0,0.9772222222222222,0.9772222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,few,256,2,13994.666666666666,4642.635266981698,13994.666666666666,4642.635266981698,0,0.0,0.0,0.9772222222222222,0.9772222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,few,256,4,13994.666666666666,4642.635266981698,13994.666666666666,4642.635266981698,0,0.0,0.0,0.9772222222222222,0.9772222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,few,256,8,13994.666666666666,4642.635266981698,13994.666666666666,4642.635266981698,0,0.0,0.0,0.9772222222222222,0.9772222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,few,256,32,13994.666666666666,4642.635266981698,13994.666666666666,4642.635266981698,0,0.0,0.0,0.9772222222222222,0.9772222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,few,256,1000000000,13994.666666666666,4642.635266981698,13994.666666666666,4642.635266981698,0,0.0,0.0,0.9772222222222222,0.9772222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,all,512,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,all,512,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,all,512,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,all,512,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,all,512,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,2.4,4,all,512,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,0.0,light,9.6,16,one,128,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,one,128,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,one,128,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,one,128,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,one,128,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,one,128,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,few,256,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,few,256,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,few,256,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,few,256,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,few,256,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,few,256,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,all,512,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,all,512,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,all,512,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,all,512,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,all,512,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,light,9.6,16,all,512,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,0.0,heavy,6.4,4,one,128,1,10922.666666666666,2814.7067737549896,12970.666666666666,5990.375688459689,2048,0.0,5461.333333333333,0.9822222222222222,0.9788888888888889,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,one,128,2,10922.666666666666,2814.7067737549896,13312,6662.560869015257,2389.3333333333335,-1365.3333333333333,7168.0,0.9822222222222222,0.9783333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,one,128,4,10922.666666666666,2814.7067737549896,10581.333333333334,3430.3575453425974,-341.3333333333333,-2048.0,1024.0,0.9822222222222222,0.9827777777777778,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,one,128,8,10922.666666666666,2814.7067737549896,16725.333333333332,11428.29673320667,5802.666666666667,-682.6666666666666,12970.666666666666,0.9822222222222222,0.9727777777777777,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,one,128,32,10922.666666666666,2814.7067737549896,16042.666666666666,7968.506900431362,5120,1365.3333333333333,9216.0,0.9822222222222222,0.9738888888888889,26.690634437630035,27.552739346916486,1.0322999032226452,12.821459820740374,12.821459820740372
4,0.0,heavy,6.4,4,one,128,1000000000,10922.666666666666,2814.7067737549896,9557.333333333334,1930.8729171600658,-1365.3333333333333,-2730.6666666666665,-341.3333333333333,0.9822222222222222,0.9844444444444445,26.690634437630035,38.66190228692176,1.4485194189469668,12.821459820740374,12.821459820740372
4,0.0,heavy,6.4,4,few,256,1,10922.666666666666,2814.7067737549896,12970.666666666666,5990.375688459689,2048,0.0,5461.333333333333,0.9822222222222222,0.9788888888888889,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,few,256,2,10922.666666666666,2814.7067737549896,13312,6662.560869015257,2389.3333333333335,-1365.3333333333333,7168.0,0.9822222222222222,0.9783333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,few,256,4,10922.666666666666,2814.7067737549896,10581.333333333334,3430.3575453425974,-341.3333333333333,-2048.0,1024.0,0.9822222222222222,0.9827777777777778,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,few,256,8,10922.666666666666,2814.7067737549896,16725.333333333332,11428.29673320667,5802.666666666667,-682.6666666666666,12970.666666666666,0.9822222222222222,0.9727777777777777,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,few,256,32,10922.666666666666,2814.7067737549896,16042.666666666666,7968.506900431362,5120,1365.3333333333333,9216.0,0.9822222222222222,0.9738888888888889,26.690634437630035,27.552739346916486,1.0322999032226452,12.821459820740374,12.821459820740372
4,0.0,heavy,6.4,4,few,256,1000000000,10922.666666666666,2814.7067737549896,9557.333333333334,1930.8729171600658,-1365.3333333333333,-2730.6666666666665,-341.3333333333333,0.9822222222222222,0.9844444444444445,26.690634437630035,38.66190228692176,1.4485194189469668,12.821459820740374,12.821459820740372
4,0.0,heavy,6.4,4,all,512,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,all,512,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,all,512,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,all,512,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,all,512,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,0.0,heavy,6.4,4,all,512,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,26.690634437630035,30.472227231911017,1.1416823868731074,12.821459820740374,12.821459820740374
4,0.0,heavy,25.6,16,one,128,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,one,128,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,one,128,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,one,128,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,one,128,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,one,128,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,7.544211559534904,1.141386372698287,3.1211765149671273,3.121176514967127
4,0.0,heavy,25.6,16,few,256,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,few,256,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,few,256,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,few,256,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,few,256,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,few,256,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,7.544211559534904,1.141386372698287,3.1211765149671273,3.121176514967127
4,0.0,heavy,25.6,16,all,512,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,all,512,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,all,512,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,all,512,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,all,512,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,0.0,heavy,25.6,16,all,512,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,7.544211559534904,1.141386372698287,3.1211765149671273,3.121176514967127
4,1.0,light,2.4,4,one,128,1,29696,13978.00634329994,29013.333333333332,13810.297735948909,-682.6666666666666,-2048.0,0.0,0.9516666666666667,0.9527777777777777,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,one,128,2,29696,13978.00634329994,29013.333333333332,13810.297735948909,-682.6666666666666,-2048.0,0.0,0.9516666666666667,0.9527777777777777,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,one,128,4,29696,13978.00634329994,29013.333333333332,13810.297735948909,-682.6666666666666,-2048.0,0.0,0.9516666666666667,0.9527777777777777,0.7892104137290398,0.7913591766423819,1.0027226743032813,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,one,128,8,29696,13978.00634329994,29013.333333333332,13810.297735948909,-682.6666666666666,-2048.0,0.0,0.9516666666666667,0.9527777777777777,0.7892104137290398,0.7913591766423819,1.0027226743032813,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,one,128,32,29696,13978.00634329994,29013.333333333332,13810.297735948909,-682.6666666666666,-2048.0,0.0,0.9516666666666667,0.9527777777777777,0.7892104137290398,0.7913591766423819,1.0027226743032813,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,one,128,1000000000,29696,13978.00634329994,29013.333333333332,13810.297735948909,-682.6666666666666,-2048.0,0.0,0.9516666666666667,0.9527777777777777,0.7892104137290398,0.7913591766423819,1.0027226743032813,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,few,256,1,28330.666666666668,13657.599333541586,27648,13416.614575468233,-682.6666666666666,-2048.0,0.0,0.9538888888888889,0.955,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,few,256,2,28330.666666666668,13657.599333541586,27648,13416.614575468233,-682.6666666666666,-2048.0,0.0,0.9538888888888889,0.955,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,few,256,4,28330.666666666668,13657.599333541586,27648,13416.614575468233,-682.6666666666666,-2048.0,0.0,0.9538888888888889,0.955,0.7892104137290398,0.7913591766423819,1.0027226743032813,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,few,256,8,28330.666666666668,13657.599333541586,27648,13416.614575468233,-682.6666666666666,-2048.0,0.0,0.9538888888888889,0.955,0.7892104137290398,0.7913591766423819,1.0027226743032813,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,few,256,32,28330.666666666668,13657.599333541586,27648,13416.614575468233,-682.6666666666666,-2048.0,0.0,0.9538888888888889,0.955,0.7892104137290398,0.7913591766423819,1.0027226743032813,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,few,256,1000000000,28330.666666666668,13657.599333541586,27648,13416.614575468233,-682.6666666666666,-2048.0,0.0,0.9538888888888889,0.955,0.7892104137290398,0.7913591766423819,1.0027226743032813,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,all,512,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,all,512,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,all,512,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,all,512,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,all,512,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,2.4,4,all,512,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
4,1.0,light,9.6,16,one,128,1,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,one,128,2,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,one,128,4,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,one,128,8,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,one,128,32,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,one,128,1000000000,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,few,256,1,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,few,256,2,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,few,256,4,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,few,256,8,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,few,256,32,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,few,256,1000000000,8874.666666666666,965.4364585800329,8874.666666666666,965.4364585800329,0,0.0,0.0,0.9855555555555555,0.9855555555555555,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,all,512,1,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,all,512,2,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,all,512,4,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,all,512,8,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,all,512,32,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,light,9.6,16,all,512,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
4,1.0,heavy,6.4,4,one,128,1,12970.666666666666,1930.8729171600658,11946.666666666666,2751.917311419238,-1024,-3413.3333333333335,1365.3333333333333,0.9788888888888889,0.9805555555555555,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
4,1.0,heavy,6.4,4,one,128,2,12970.666666666666,1930.8729171600658,22186.666666666668,9992.38394422917,9216,2048.0,19456.0,0.9788888888888889,0.9638888888888889,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
